id,en,ja,de,fr
648,icy dress,こおりのじょおうなドレス,Frostköniginnenkleid,robe des glaces
649,cold-country dress,さむいくにのドレス,Bunad-Kleid,robe scandinave
650,mariachi clothing,マリアッチのいしょう,Mariachi-Outfit,tenue de mariachi
651,marble-print dress,マーブルワンピース,Murmelkleid,robe marbrée
652,shell dress,かいがらのドレス,Muschelkleid,robe coquillages
653,long chenille cardigan,モールロングカーディガン,Chenille-Strickjacke,gilet long en chenille
654,sweet dress,エンジェルなワンピース,Engelskleid,robe angélique
655,impish costume,デビルなふく,Koboldkostüm,costume de diablotin
656,striped maxi dress,ストライプのマキシワンピ,Streifenmaxikleid,maxi robe à rayures
657,checkered jumper dress,チェックのジャンパースカート,Pulli-Kleid-Kombi,robe tartan avec pull
658,lacy dress,レースのワンピース,Spitzenkleid,robe à volants en dentelle
659,clover dress,クローバーなワンピース,Kleeblattkleid,robe trèfles
660,elegant dress,しゅくじょなワンピース,Ballkleid,robe élégante stricte
661,wrestling singlet,レスリングのユニフォーム,Ringer-Anzug,combinaison de lutte
662,sleeveless silk dress,チャイナドレス,Asia-Kleid,qipao sans manches
663,astro dress,スペースワンピース,Astro-Kleid,robe astro
664,hot-dog costume,ホットドッグなふく,Hotdogkostüm,costume de hot dog
665,coveralls with arm covers,うでカバーつきつなぎ,Stulpenoverall,combinaison de ferme
666,stylish jumpsuit,オールインワン,Hosenanzug,combinaison élégante
667,instant-muscles suit,マッスルスーツ,Muskelanzug,costume effet gonflette
668,cyber suit,サイバースーツ,Cyber-Anzug,cyber combinaison
669,figure-skating dress,フィギュアのドレス,Eiskunstlaufkleid,robe de patin à glace
670,figure-skating costume,フィギュアないしょう,Eiskunstlauf-Outfit,costume de patin à glace
671,power suit,パワードスーツ,Power-Anzug,armure de puissance
672,Renaissance dress,ルネッサンスなドレス,Renaissance-Kleid,robe renaissance
673,cold-country bunad,さむいくにのふく,Bunad,tenue scandinave
674,fancy kimono,はれぎ,Prachtkimono,kimono d'apparat
675,ancient belted robe,ぐんしのふく,Herren-Hanfu,tunique d'homme ancienne
676,ancient sashed robe,かんぷく,Damen-Hanfu,tunique de femme ancienne
677,school smock,スクールスモック,Schülerkittel,blouse d'école
678,rumba costume,ルンバないしょう,Rumbakostüm,costume de rumba
679,baby-chick costume,ひよこなふく,Kükenkostüm,costume de poussin
680,rumba dress,ルンバなドレス,Rumbakleid,robe de rumba
681,suit with stand-up collar,つめえりスーツ,Stehkragenanzug,costume col mandarin
682,dreamy dress,ゆめかわなドレス,Fantasiekleid,robe joli rêve
683,flashy kimono,ゴージャスなきもの,Prunkkimono,kimono somptueux
684,noble dress,きぞくのドレス,Adelskleid,robe d'apparat
685,stellar jumpsuit,サイケなつなぎ,Disko-Outfit,combinaison psychédélique
686,old commoner's kimono,まちむすめのきもの,Schlichtkimono,kimono ordinaire ancien
687,tango dress,タンゴなドレス,Tangokleid,robe de tango
688,flapper dress,フラッパードレス,Flapper-Kleid,robe de garçonne
689,baji jeogori,パジチョゴリ,Baji Jeogori,baji jeogori
690,morning-glory yukata,あさがおのゆかた,Prunkwinden-Yukata,yukata belles-de-jour
691,steampunk costume,スチームパンクなふく,Steampunk-Outfit,costume steampunk
692,farmer overalls,ファームなオーバーオール,Farmer-Outfit,salopette de ferme
693,ice-hockey uniform,アイスホッケーのユニフォーム,Eishockey-Outfit,uniforme hockey sur glace
694,simple visiting kimono,むじのほうもんぎ,Besuchskimono,kimono de visite
695,butterfly visiting kimono,ちょうがらのほうもんぎ,Schmetterlingskimono,kimono imprimé papillons
696,kabuki-actor yukata,かぶきなゆかた,Kabuki-Yukata,yukata de kabuki
697,egg-sushi costume,たまごずし,Tamago-Sushi-Kostüm,costume de sushi à l'œuf
698,tuna-sushi costume,まぐろずし,Maguro-Sushi-Kostüm,costume de sushi au thon
699,gizzard-shad-sushi costume,こはだずし,Kohada-Sushi-Kostüm,costume de sushi au hareng
700,faux-suede sneakers,スエードスニーカー,Paar Veloursturnschuhe,paire de tennis en suédine
701,kung-fu shoes,カンフーシューズ,Paar Kung-Fu-Schuhe,p. de chaussons de kung-fu
702,embroidered shoes,ししゅうのくつ,Paar Stickschuhe,p. de chaussures brodées
703,Labelle pumps,ケイトのパンプス,Paar Samthea-Pumps,paire de ballerines Maria
704,Labelle sneakers,ケイトのスニーカー,Paar Samthea-Sneaker,paire de baskets Maria
705,Nook Inc. slippers,たぬきかいはつスリッパ,Paar Nook-Inc.-Pantoffeln,p. de chaussons Nook Inc.
706,DAL slippers,ＤＡＬスリッパ,Paar DAL-Pantoffeln,paire de chaussons DAL
707,recycled boots,リサイクルながぐつ,Paar Recyclingstiefel,paire de bottes recyclées
708,earth-egg shoes,じめんのたまごのくつ,Paar Erd-Ei-Schuhe,p. chaussures œuf terrestre
709,stone-egg shoes,いわのたまごのくつ,Paar Fels-Ei-Schuhe,p. chaussures œuf minéral
710,leaf-egg shoes,はっぱのたまごのくつ,Paar Laub-Ei-Schuhe,p. chaussures œuf feuillu
711,wood-egg shoes,ウッディなたまごのくつ,Paar Holz-Ei-Schuhe,p. chaussures œuf boisé
712,sky-egg shoes,そらとぶたまごのくつ,Paar Luft-Ei-Schuhe,p. chaussures œuf aérien
713,water-egg shoes,サカナのたまごのくつ,Paar Wasser-Ei-Schuhe,p. chaussures œuf aquatiq.
714,kimono sandals,げた,Paar Kimono-Sandalen,paire de sandales kimono
715,shower sandals,シャワーサンダル,Paar Badelatschen,paire de claquettes de bain
716,pleather sneakers,レザーのスニーカー,Paar Kunstleder-Sneaker,paire de tennis en similicuir
717,faux-shearling boots,ムートンブーツ,Paar Kunstfellstiefel,paire de bottes fourrées
718,vinyl round-toed pumps,エナメルのパンプス,Paar Vinyl-Pumps,paire d'escarpins en vinyle
719,loafers,ローファー,Paar Slipper,paire de chaussures bateau
720,cross-belt sandals,クロスベルトサンダル,Paar Kreuzriemensandalen,p. sandales brides croisées
721,business shoes,ビジネスシューズ,Paar Business-Schuhe,paire de chaussures pro
722,velour boots,ベロアブーツ,Paar Veloursstiefel,paire de bottes en velours
723,rain boots,レインブーツ,Paar Regenstiefel,paire de bottes de pluie
724,zori,ぞうり,Paar Sandalen,paire de zori
725,trekking shoes,トレッキングシューズ,Paar Trekkingschuhe,p. de chaussures de rando
726,paw slippers,アニマルスリッパ,Paar Pfoten,paire de chaussons animal
727,flip-flops,ビーチサンダル,Paar Badesandalen,paire de tongs
728,mary janes,ストラップシューズ,Paar Riemchenschuhe,paire de babies
729,armor shoes,アイアンアーマーシューズ,Paar Silberrüstungsschuhe,paire de solerets
730,slip-on school shoes,うわばき,Paar Uwabaki,paire de souliers d'école
731,pleather ankle booties,レザーのショートブーツ,Paar Kunstlederstiefel,paire de bottines similicuir
732,flower sandals,フラワーなサンダル,Paar Blümchensandalen,paire de sandales fleuries
733,faux-fur ankle booties,ファーブーツ,Paar Kunstfellstiefeletten,p. bottines fausse fourrure
734,leopard pumps,アニマルパンプス,Paar Leopardenschuhe,paire de ballerines léopard
735,beaded sandals,ビーズししゅうのサンダル,Paar Zehensandalen,paire de sandales à perles
736,boots,ながぐつ,Paar Stiefel,paire de bottines
737,antique boots,アンティークなブーツ,Paar Legendenstiefel,paire de bottes sept lieues
738,gold-armor shoes,ゴールデンアーマーシューズ,Paar Goldrüstungsschuhe,paire de solerets or
739,slippers,スリッパ,Paar Filzpantoffeln,paire de pantoufles
740,work boots,ワークブーツ,Paar Arbeitsstiefel,paire de bottes de travail
741,moccasin boots,モカシンブーツ,Paar Mokassinstiefeletten,paire de bottines mocassins
742,pom-pom boots,ポンポンつきブーツ,Paar Puschel-Stiefel,paire de bottes à pompons
743,samurai greaves,かっちゅうのすねあて,Paar Samuraistiefel,paire de grèves de samouraï
744,strappy heels,ストラップつきパンプス,Paar Riemchenpumps,paire d'escarpins à bride
745,house slippers,ルームシューズ,Paar Pantoffeln,paire de chaussons
746,slip-on sandals,スリッポンサンダル,Paar Kunststoffschlappen,paire de sabots caoutchouc
747,slip-on loafers,スリッポン,Paar Schlupfschuhe,paire de mocassins en toile
748,shiny bow platform shoes,ロリータシューズ,Paar Prinzessinnenschuhe,paire de babies à rubans
749,ballet slippers,バレエシューズ,Paar Ballettschuhe,paire de chaussons danse
750,visual-punk boots,ヴィジュアルけいブーツ,Paar Visual-Kei-Stiefel,paire de bottes visual kei
751,rubber-toe high tops,ラバートゥハイカットスニーカー,Paar Knöchelturnschuhe,p. tennis skate montantes
752,wooden clogs,きぐつ,Paar Holzpantoffeln,paire de sabots décorés
753,comfy sandals,コンフォートサンダル,Paar Pantoletten,paire sandales confortables
754,gladiator sandals,グラディエーターサンダル,Paar Gladiator-Sandalen,paire de spartiates
755,zap boots,ヒーローブーツ,Paar Superheldenstiefel,paire de bottes de héros
756,basketball shoes,バスケットシューズ,Paar Basketballschuhe,paire de baskets
757,jester's shoes,ピエロのくつ,Paar Narrenschuhe,paire de bottes bouffon
758,outdoor sandals,アウトドアサンダル,Paar Outdoor-Sandalen,paire de sandales de rando
759,cowboy boots,ウェスタンブーツ,Paar Cowboystiefel,paire de bottes de cow-boy
760,traditional flower shoes,コッシン,Paar Ornamentschuhe,paire de ggotshin
761,water sandals,アクアサンダル,Paar Strandsandalen,paire sandalettes de plage
762,cleats,スパイク,Paar Fußballschuhe,paire de souliers crampons
763,winklepickers,トンがったクツ,Paar Pikes,paire de winklepickers
764,hi-tech sneakers,ハイテクシューズ,Paar Hightech-Turnschuhe,paire de tennis high-tech
765,ski boots,スキーブーツ,Paar Skistiefel,paire de bottes de ski
766,lace-up boots,あみあげブーツ,Paar Schnürstiefel,paire de bottes à lacets
767,wrestling shoes,リングシューズ,Paar Wrestlingschuhe,paire de bottes de catch
768,power boots,パワードブーツ,Paar Power-Stiefel,paire bottes de puissance
769,space boots,スペースブーツ,Paar Astronautenstiefel,paire de bottes spatiales
770,kiddie sneakers,キッズなスニーカー,Paar Kinderturnschuhe,paire de baskets enfant
771,walking shoes,ウォーキングシューズ,Paar Spazierschuhe,p. chaussures confortables
772,restroom slippers,トイレスリッパ,Paar Badepantoffeln,paire de pantoufles de WC
773,cute sneakers,キュートなスニーカー,Paar Herzchenturnschuhe,paire de baskets cœur
774,moccasins,モカシン,Paar Mokassins,paire de mocassins
775,water shoes,マリンシューズ,Paar Wassersportschuhe,paire de chaussures plage
776,wingtip shoes,ウイングチップのシューズ,Paar Derbyschuhe,paire de brogues
777,ribbon sandals,リボンサンダル,Paar Schleifchensandalen,paire de claquettes à nœud
778,sporty sandals,スポーツサンダル,Paar Sportsandalen,paire de sandales de sport
779,ghillie brogues,ギリー・ブローグズ,Paar Ghillie Brogues,paire de ghillie brogues
780,babouches,バブーシュ,Paar Babuschen,paire de babouches
781,high-tops,ハイカットスニーカー,Paar Basketballstiefel,paire de baskets montantes
782,steel-toed boots,エンジニアブーツ,Paar Stahlkappenschuhe,paire de bottes à coque
783,rubber-toe sneakers,ラバートゥスニーカー,Paar Kappenturnschuhe,paire de baskets en toile
784,mage's booties,とんがりブーツ,Paar Spitz-Stiefelchen,paire de bottines pointues
785,stockings,ストッキング,Paar Strümpfe,paire de bas
786,fishnet tights,あみタイツ,Modestrumpfhose,collant filet
787,vivid socks,ビビッドなソックス,Paar Einfarb-Socken,paire de socquettes vives
788,semi-opaque tights,ニュアンスタイツ,Transparenz-Strumpfhose,collant semi-opaque
789,everyday tights,デイリータイツ,Alltagsstrumpfhose,collant ordinaire
790,vivid tights,ビビッドなタイツ,Einfarb-Strumpfhose,collant vif
791,neon tights,ネオンタイツ,Neon-Strumpfhose,collant fluo
792,vivid leggings,ビビッドなレギンス,Einfarb-Leggings,legging vif
793,neon leggings,ネオンレギンス,Neon-Leggings,legging fluo
794,everyday socks,デイリーソックス,Paar Alltagssocken,p. chaussettes ordinaires
795,semi-opaque socks,ニュアンスソックス,Paar Transparenz-Socken,p. chauss. semi-opaques
796,Labelle tights,ケイトのタイツ,Samthea-Strumpfhose,collant Maria
797,Labelle socks,ケイトのソックス,Paar Samthea-Socken,paire de chaussettes Maria
798,Nook Inc. socks,たぬきかいはつソックス,Paar Nook-Inc.-Socken,p. de chaussettes Nook Inc.
799,dotted knee-high socks,ドットのニーハイソックス,Paar Punkt-Kniestrümpfe,p. chauss. longues à pois
800,simple knee-high socks,シンプルなニーハイソックス,Paar Simpel-Kniestrümpfe,p. chauss. longues simples
801,back-bow socks,リボンソックス,Paar Schleifchensocken,p. de chaussettes à nœud
802,no-show socks,スニーカーインソックス,Paar Low-Socken,paire de mini-socquettes
803,Aran-knit socks,アランニットのソックス,Paar Aranmustersocken,paire de chaussettes Aran
804,sequin leggings,スパンコールレギンス,Paillettenleggings,legging à sequins
805,stretch leggings,ストレッチレギンス,Stretchleggings,legging stretch
806,denim leggings,デニムレギンス,Jeansleggings,legging en jean
807,tube socks,ラインソックス,Paar Sportsocken,paire de chaussettes sport
808,garter socks,ガーターつきストッキング,Paar Strumpfbandstrümpfe,paire de fixe-chaussettes
809,nordic socks,ノルディックなソックス,Paar Norwegerstrümpfe,p. de chaussettes nordiques
810,tabi,たび,Paar Tabi-Socken,paire de tabi
811,ultra no-show socks,フットカバー,Paar Füßlinge,p. de chaussettes ballerines
812,mixed-tweed socks,ミックスツイードソックス,Paar Mixed-Tweed-Socken,p. de chaussettes tweed
813,leg warmers,レッグウォーマー,Paar Beinwärmer,paire de jambières
814,compression tights,コンプレッションタイツ,Kompressionsstrumpfhose,collant de contention
815,bobby socks,みつおりソックス,Paar Bündchensocken,paire de socquettes simples
816,frilly knee-high socks,フリルつきニーハイソックス,Paar Rüschenkniestrümpfe,p. chauss. longues dentelle
817,lace socks,レースのソックス,Paar Spitzensöckchen,paire chaussettes dentelle
818,frilly socks,フリルソックス,Paar Rüschensöckchen,paire socquettes à dentelle
819,holey tights,あなあきタイツ,Löcher-Strumpfhose,collant filé
820,soccer socks,サッカーソックス,Paar Fußballstutzen,paire chaussettes de foot
821,holey socks,あなあきソックス,Paar Loch-Socken,paire chaussettes trouée
822,pom-pom socks,ポンポンソックス,Paar Puschel-Socken,paire chaussettes pompons
823,color-blocked socks,マルチブロックソックス,Paar Bunt-Socken,paire chaussettes carreaux
824,terry-cloth socks,もこもこソックス,Paar Frottee-Socken,p. chaussettes tissu éponge
825,layered socks,かさねばきソックス,Paar Abstrakt-Strümpfe,p. chaussettes superposées
826,hand-knit socks,てあみのソックス,Paar Stricksocken,p. chauss. tricotées main
827,aerobics leggings,エアロビレギンス,Aerobic-Leggings,legging d'aérobic
828,puckered socks,くしゅくしゅソックス,Paar Mäusezahnsocken,p. chaussettes déformées
829,striped socks,ボーダーソックス,Paar Ringelsocken,paire de chaussettes rayées
830,simple-accent socks,ワンポイントソックス,Paar Logo-Socken,paire de chaussettes à logo
831,kiddie socks,キッズソックス,Paar Kindersöckchen,paire de socquettes enfant
832,crocheted socks,かぎばりあみソックス,Paar Häkelsocken,paire chaussettes crochet
833,spider-web tights,スパイダーなタイツ,Spinnennetz-Strumpfhose,collant toile d'araignée
834,embroidered-flower tights,はながらししゅうのタイツ,Blumenstick-Strumpfhose,collant à fleurs brodées
835,running tights,ランニングタイツ,Läuferleggings,collant de course à pied
836,funny-face socks,キャラクターソックス,Paar Charaktersocken,p. de chaussettes rigolotes
837,geometric-print socks,チマヨがらソックス,Paar Chimayo-Socken,p. de chaussettes Chimayo
838,flowery-dot tights,フラワードットタイツ,Blümchenstrumpfhose,collant à petites fleurs
839,argyle crew socks,アーガイルソックス,Paar Argyle-Crew-Socken,p. de chaussettes argyle
840,sheer socks,シースルーソックス,Paar Seidensocken,paires de chaussettes fines
841,wave-print socks,せいがいはソックス,Paar Wellensöckchen,paire de socquettes vagues
842,country socks,カントリーソックス,Paar Country-Socken,paire de chaussettes de kilt
843,striped tights,ストライプソックス,Streifenstrumpfhose,collant à rayures verticales
844,patterned stockings,デザインストッキング,Paar Musterstrümpfe,collant à motifs
845,striped shirt,ボーダーＴシャツ,Ringelpulli,pull léger rayé
846,mountain parka,マウンテンパーカー,Bergsteigerjacke,parka de montagne
847,peacoat,ダッフルコート,Dufflecoat,duffel-coat
848,trench coat,トレンチコート,Trenchcoat,pardessus
849,kung-fu tee,カンフーなふく,Kung-Fu-Hemd,veste kung-fu
850,letter jacket,スタジャン,Collegejacke,veste collège
851,three-ball tee,３ばんだまのふく,3er-Shirt,t-⁠shirt nº 3
852,two-ball tee,２ばんだまのふく,2er-Shirt,t-⁠shirt nº 2
853,layered tank,シンプルフリルキャミソール,Lagentop,débardeur à volants
854,silk shirt,チャイナふく,Asia-Hemd,veste chinoise
855,raglan tee,ラグランＴシャツ,Raglan-Shirt,t-⁠shirt raglan
856,basketball tank,バスケシャツ,Basketballtrikot,débardeur basketball
857,hand-knit tank,ノースリーブのニット,Stricktop,débardeur tricoté main
858,down jacket,ダウンジャケット,Thermojacke,doudoune
859,dress shirt,ワイシャツ,Anzughemd,chemise habillée
860,sailor's tee,はんそでセーラーふく,Marineshirt,t-⁠shirt matelot
861,simple parka,シンプルなパーカー,Kapuzenpulli,sweat à capuche simple
862,kids' smock,スモック,Malkittel,blouse enfant
863,graduation gown,がくしのふく,Uni-Robe,tenue remise de diplôme
864,short-sleeve dress shirt,はんそでワイシャツ,Kurzarmhemd,chemisette habillée
865,sleeveless dress shirt,ノースリーブえりつきシャツ,Sommeranzughemd,chemise sans manches
866,hanten jacket,はんてん,Hanten-Jacke,veste hanten
867,raincoat,レインコート,Regenmantel,imperméable
868,noble coat,きぞくのコート,Adelsrobe,redingote
869,polo shirt,ポロシャツ,Polohemd,polo
870,doctor's coat,はくい,Arztkittel,blouse de docteur
871,chef's outfit,コックさんのふく,Koch-Outfit,tenue de chef
872,café uniform,カフェのせいふく,Kellnerkleidung,tenue de barista
873,gym tee,たいそうふく,Gymnastikshirt,t-⁠shirt sport
874,tank,タンクトップ,Tanktop,débardeur
875,comedian's outfit,コメディアンなふく,Komikerjacke,tenue de comique
876,biker jacket,ライダースジャケット,Bikerjacke,veste de motard
877,garden tank,はながらのプリントキャミ,Gartentop,débardeur jardin
878,denim jacket,デニムジャケット,Bluejeansjacke,veste en jean
879,rubber apron,ゴムエプロン,Kunststoffschürze,tablier caoutchouc
880,fishing vest,つりジャケット,Angelweste,veste de pêcheur
881,faux-shearling coat,ムートンコート,Kunstfelljacke,manteau fourré
882,flannel shirt,ネルシャツ,Flanellhemd,chemise en flanelle
883,denim vest,そでなしＧジャン,Jeansweste,veston en jean
884,apron,エプロン,Kittelschürze,tablier
885,military uniform,へいたいのふく,Militärjacke,veste militaire
886,cavalier shirt,じゅうきしのふく,Edelmann-Hemd,tenue de mousquetaire
887,pineapple aloha shirt,パインがらアロハシャツ,Ananas-Hawaiihemd,chemisette Hawaï ananas
888,lacy tank,レースのキャミソール,Spitzentop,débardeur en mousseline
889,athletic jacket,ジャージ,Sportjacke,veste survêt
890,western shirt,ウェスタンなふく,Western-Hemd,chemise western
891,relay tank,えきでんなふく,Staffellauf-Top,débardeur marathon
892,silk floral-print shirt,はんそでチャイナふく,Asia-Bluse,chemisette chinoise
893,soccer-uniform top,サッカーのユニフォーム,Fußballtrikot,maillot de foot
894,tiger jacket,トラのスカジャン,Tigerjacke,veste tigre
895,happi tee,はっぴ,Happi-Jacke,happi
896,dragon jacket,ドラゴンのスカジャン,Drachenjacke,veste dragon
897,MVP tee,ＭＶＰなＴシャツ,MVP-Shirt,t-⁠shirt MVP
898,No. 1 shirt,No.1のふく,Nr.-1-Shirt,t-⁠shirt 1
899,camo tee,めいさいなふく,Tarnshirt,t-⁠shirt camouflage
900,cycling shirt,サイクルジャージ,Radlerjacke,pull cycliste
901,danger tank,デンジャラスなタンクトップ,Linientop,débardeur danger
902,heart sweater,ハートのセーター,Herzpulli,pull cœur
903,tree sweater,きのセーター,Baumpulli,pull sapin
904,frog tee,かえるのＴシャツ,Quak-Shirt,t-⁠shirt rainette
905,bear tee,くまのＴシャツ,Teddy-Shirt,t-⁠shirt ours
906,rabbit tee,うさぎのＴシャツ,Häschenshirt,t-⁠shirt lapin
907,animal-stripes tee,しましまＴシャツ,Tigerstreifenshirt,t-⁠shirt tigré
908,leopard tee,ヒョウがらＴシャツ,Leopardenshirt,t-⁠shirt léopard
909,bone tee,ボーンなＴシャツ,Knochenshirt,t-⁠shirt os
910,chick tee,ひよこがらＴシャツ,Kükenshirt,t-⁠shirt poussins
911,misty tee,かすみのふく,Nebelshirt,t-⁠shirt brume
912,marble-dots tee,マーブルドットのＴシャツ,Buntpünktchenshirt,t-⁠shirt à pois arlequin
913,simple-dots tee,シンプルドットのＴシャツ,Unipünktchenshirt,t-⁠shirt à pois simples
914,zigzag shirt,ギザギザのＴシャツ,Zickzackpulli,pull zigzag
915,blossom tee,はながらのＴシャツ,Blumenshirt,t-⁠shirt à imprimé floral
916,bold aloha shirt,ポリネシアンなアロハ,Aloha-Hemd,chemise aloha
917,spider-web tee,スパイダーなＴシャツ,Spinnwebenshirt,t-⁠shirt toile d'araignée
918,skull tee,ドクロＴシャツ,Schädelshirt,t-⁠shirt crâne
919,A tee,エースのＴシャツ,A-Shirt,t-⁠shirt A
920,starry tank,ほしがらタンクトップ,Sternen-Tanktop,débardeur à étoiles
921,flame tee,ファイアーなＴシャツ,Feuershirt,t-⁠shirt flamme
922,Mom's hand-knit sweater,ははのてあみセーター,Strickpulli von Mama,pull tricoté par maman
923,Mom's handmade apron,ははのてづくりエプロン,Häkelschürze von Mama,tablier cousu par maman
924,simple knit sweater,シンプルなニット,Einfarben-Strickpulli,pull tricoté simple
925,argyle vest,アーガイルベスト,Argyle-Pullunder,gilet écossais
926,viking top,バイキングのふく,Wikingergewand,armure viking
927,dotted raincoat,みずたまレインコート,Punkte-Regenmantel,imperméable gouttes d'eau
928,diner apron,ダイナーのエプロン,Dinerschürze,tablier nostalgique
929,explorer tee,たんけんふく,Safarishirt,t-⁠shirt aventure
930,printed layered shirt,かさねぎプリントＴシャツ,Design-Lagenshirt,t-⁠shirt à effet superposé
931,printed-sleeve sweater,アームプリントＴシャツ,Ärmelaufdruck-Pulli,pull manches imprimées
932,plaid puffed-sleeve shirt,ブロックチェックのパフスリーブ,Karo-Puffärmelhemd,haut à manches ballon
933,dolly shirt,ドーリーシャツ,Püppchenhemd,chemise dolly
934,flashy jacket,ハデなジャケット,Imponierblazer,veste tape-à-l'œil
935,work apron,ワークエプロン,Arbeitsschürze,tablier de travail
936,botanical tee,ボタニカルＴシャツ,Botanik-Shirt,t-shirt botanique
937,groovy shirt,サイケデリックシャツ,Hippie-Hemd,chemise groovy
938,work shirt,ネクタイつきワイシャツ,Bürohemd,chemise de bureau
939,sushi chef's outfit,いたまえのふく,Sushikochjacke,tenue de chef sushi
940,emblem blazer,ブレザー,Blazer,blazer emblème
941,royal shirt,おうさまのふく,Königswamses,manteau royal
942,Labelle knit shirt,ケイトのカットソー,Samthea-Jerseyhemd,t-shirt tricoté Maria
943,Labelle coat,ケイトのコート,Samthea-Mantel,manteau Maria
944,Nook Inc. blouson,たぬきかいはつブルゾン,Nook-Inc.-Blouson,blouson Nook Inc.
945,Nook Inc. aloha shirt,たぬきかいはつアロハ,Nook-Inc.-Hawaiihemd,chemisette Hawaï Nook Inc.
946,big-star tee,いちばんぼしのふく,Nachtshirt,t-shirt étoile
947,Nook Inc. tee,たぬきかいはつＴシャツ,Nook-Inc.-Shirt,t-shirt Nook Inc.
948,bug aloha shirt,インセクトアロハ,Insekten-Hawaiihemd,chemisette Hawaï insectes
949,fish-print tee,さかなＴシャツ,Anglershirt,t-shirt à motif poisson
950,terry-cloth nightgown,もこもこナイトガウン,Frottee-Nachthemd,chemise nuit tissu éponge
951,plushie-muffler coat,ぬいぐるみマフラーつきコート,Kuscheltier-Schal-Outfit,caban à écharpe en peluche
952,No. 2 shirt,No.2のふく,Nr.-2-Shirt,t-⁠shirt 2
953,No. 3 shirt,No.3のふく,Nr.-3-Shirt,t-⁠shirt 3
954,No. 4 shirt,No.4のふく,Nr.-4-Shirt,t-⁠shirt 4
955,konnichiwa tee,こんにちはＴシャツ,Konnichiwa-Shirt,t-shirt konnichiwa
956,bonjour tee,ボンジュールＴシャツ,Bonjour-Shirt,t-shirt bonjour
957,hello tee,ハローＴシャツ,Hello-Shirt,t-shirt hello
958,annyeong tee,アンニョンＴシャツ,Annyeong-Shirt,t-shirt annyeong
959,ni hao tee,ニーハオＴシャツ,Ni-hao-Shirt,t-shirt ni hao
960,hallo tee,ハーローＴシャツ,Hallo-Shirt,t-shirt hallo
961,ciao tee,チャオＴシャツ,Ciao-Shirt,t-shirt ciao
962,hola tee,オラＴシャツ,Hola-Shirt,t-shirt hola
963,privét tee,プリヴェＴシャツ,Priwet-Shirt,t-shirt privét
964,hi tee,ハイＴシャツ,Hi-Shirt,t-shirt hi
965,hoi tee,ホーイＴシャツ,Hoi-Shirt,t-shirt hoi
966,DAL tee,ＤＡＬのＴシャツ,DAL-Shirt,t-shirt Dodo Airlines
967,DAL apron,ＤＡＬエプロン,DAL-Schürze,tablier Dodo Airlines
968,DAL pilot jacket,ＤＡＬのＭＡ‐１,DAL-Pilotenjacke,bomber Dodo Airlines
969,OK Motors jacket,OKモータースジャケット,OK-Motors-Shirt,uniforme OK Motors
970,camper tee,キャンパーのTシャツ,Camper-Shirt,t-shirt camping-car
971,color-block dress shirt,ツートンのエリつきシャツ,Zweifarbenhemd,chemise bicolore
972,one-ball tee,１ばんだまのふく,1er-Shirt,t-⁠shirt nº 1
973,four-ball tee,４ばんだまのふく,4er-Shirt,t-⁠shirt nº 4
974,five-ball tee,５ばんだまのふく,5er-Shirt,t-⁠shirt nº 5
975,six-ball tee,６ばんだまのふく,6er-Shirt,t-⁠shirt nº 6
976,seven-ball tee,７ばんだまのふく,7er-Shirt,t-⁠shirt nº 7
977,eight-ball tee,８ばんだまのふく,8er-Shirt,t-⁠shirt nº 8
978,nine-ball tee,９ばんだまのふく,9er-Shirt,t-⁠shirt nº 9
979,sweater on shirt,トレンディーなふく,Umhängepullover,pull distingué
980,track jacket,スポーツジャージ,Aufwärmjacke,veste survêt de sport
981,waistcoat,ベストつきワイシャツ,Weste mit Hemd,gilet de smoking
982,nurse's jacket,かんごしのジャケット,Klinikkittel,blouse d'infirmier
983,striped tank,ボーダーのタンクトップ,Ringeltop,débardeur rayé
984,tuxedo jacket,タキシード,Smokingjackett,smoking
985,morning coat,モーニングコート,Cutaway,jaquette
986,tailored jacket,テーラードジャケット,Maßjacke,veste sur mesure
987,sweater-vest,チョッキつきワイシャツ,Pullunder mit Hemd,gilet de laine
988,kanji tee,かんじＴシャツ,Motiv-Shirt,t-⁠shirt kanji
989,cardigan-shirt combo,カーディガン&シャツ,Strickjacke mit Hemd,gilet avec t-⁠shirt
990,argyle sweater,アーガイルのセーター,Argyle-Pulli,chandail écossais
991,flower sweater,はながらのニット,Blumenpulli,pull fleuri
992,tennis sweater,テニスセーター,Tennispulli,chandail de tennis
993,yodel sweater,ノルディックなセーター,Jodelpulli,chandail nordique
994,snowy sweater,スノーセーター,Winterstrickpulli,chandail neige
995,yodel cardigan,ノルディックなカーディガン,Jodeljacke,gilet nordique
996,Aran-knit sweater,アランセーター,Aranmusterpulli,pull tricoté Aran
997,dreamy sweater,ゆめかわなセーター,Fantasiepulli,pull joli rêve
998,Aran-knit cardigan,アランカーディガン,Aranmusterstrickjacke,gilet tricoté Aran
999,collarless coat,ノーカラーコート,Serafino-Mantel,manteau à col ras
1000,thick-stripes shirt,ラガーシャツ,Langarm-Polohemd,polo à larges rayures
1001,sweatshirt,シンプルなトレーナー,Einfarbenpulli,sweat-⁠shirt
1002,henley shirt,ヘンリーネックＴシャツ,Henley-Shirt,chemise henley
